input_text,target_text
کیسے آنے والی دہائیوں میں صلیبی,تو مناسب ہوتی۔
مجھے اس سے کوئی فرق نہیں پڑتا۔,انہوں نے اب علم بغاوت اٹھا لیا ہے۔
حافظ سعید ایک معقول عالم دین ہیں۔,پاکستان ایک بار پھر یورو بانڈز کی مارکیٹ میں پہنچ گیا
شراب تو پہلے بھی فوجی آفیسروں میں عام تھی مگر اب تو کچی شراب ہر جگہ پی جانے لگی ہے,لیکن کیا تعلقات میں کشیدگی
موسم گرما کے آغاز پر ہی بجلی کا شارٹ فال دیکھنے کو مل رہا ہے,بارش نہ ہو رہی ہو تو بھی کھیت سرسبز ہو سکتے ہیں۔
دوسرے اس موقع پر جب کوئی عالم دین کسی خاص واقعے کے حوالے سے اپنا قانونی فیصلہ صادر کرتا ہے,پیدا کیے ہیں مگر
ان ہنرمندوں کو جن کی یہ اختراع ہے۔,بداعمال لوگوں کو مرنے کے بعد سزا بھگتنی ہوگی
لہذا ایسی رقم کا انہیں یاد نہیں۔,ہمیں نصیب ہوئی ہیں۔
اب تک سرفراز احمد نے,اگر آپ اس وقت ونڈوز استعمال کر رہے ہیں تو آپ کو یہ نیا ورژن خریدنے کی ضرورت نہیں
تو قادری صاحب کے لوگ بھرم رکھنے کے لیے موجود ہیں۔,میٹھا آملیٹ بنایا جائے
وہتو اپنے ناک پر مکھی نہیں بیٹھنے دیتی,یہ وقت ہے۔
ایکٹر ان لا کا مائیکل جیکسن سے کیا تعلق,میں چند باتوں کی طرف آپ کو متوجہ کرنا چاہتا ہوں۔
خود نوازشریف اپنی بات پہ قائم ہیں۔,کیا آپ علی کو اچھا آدمی سمجھتے ہیں
صوبوں کو صنعتی زونز کے قیام کیلئے ہدایات جاری کردیں احسن اقبال,مسٹر نکسن نے چین سے آج روانہ ہونا تھا
عملا انہیں کر دیا گیا ہے۔,تمہاری ناک بہ رہی ہے
نا معلوم حالات میں مطمئن رہتا ہوں,خیال تھا کہ عید کے تہذیبی پہلو پر کچھ لکھوں گا۔
جب اردگرد دیکھنا شروع کیا اور جب پڑھنا شروع کیا,چند دلکش چہرے بھی تھے۔
اس کے متبادل کے طور پر قبول کر لیا ہے۔,امتحان کا وقت آیا‘ ملنے کو نہ ملے۔
پی ایس ایل تھری کے کامیاب انعقاد پر پوری قوم خوشی سے نہال,اس کی کمینگی ایک مستقل لطیفہ بن چکی ہے
کہ کراچی کو ایک مختلف حکمت عملی کی ضرورت ہے۔,آپ اس طرف کا کبھی قصد نہ کریں
مستحکم کرنے کے بعد اب معیشت ٹیک آف کر چکی ہے,برتن میں پڑے رہنے کے بعد
خوف کا پہلا اثر اعصاب اور دوسرا ذہن پر ہوتا ہے۔,تو پھر کپتان کوئی بھی ہو
خود آزما لیجیے۔,ارجنٹینا
پنجاب ہاؤس میں۔,اسی طرح حکومت سازی کے لیے بھی اتحاد ہو سکتے ہیں۔
مے کشوں پر ہوا محتسب مہرباں دل فگاروں پہ قاتل کو پیار آ گیا,پہلا ون ڈے پاکستان ویمن ٹیم نے بنگلہ دیش کو شکست دے دی
ایسے کیسے بتاؤں,ظاہر ہے جس کس کو بھی نئی جماعت سے نقصان ہو
اس کی شرافت نے میرا دل جیت لیا,تم نے میرا حق مارا ہے
مطلب یہ ہے کہ کوئی یہ خیال نہ کرے,زمین کون سی ہل گئی۔
صارفین کی جانب سے یہ بات باور کرائی جا رہی ہے,شمشیر زن بھی بچ نہیں پائیں گے۔
پھر ایک سلسلہ چلا اور چلتا ہی گیا۔,لیکن غریب کہاں ہے وہ نہ توقائد اعظم کو جانتا ہوگا نا ہی پاکستان کے مطلب کو
کچھ کرنا تھا۔,عالمی بینک کی پاکستان میں ارب ڈالر کی سرمایہ کاری کی حکمت عملی مرتب
میں تو اسی درخت پر رہوں گا۔,نئے مقامات پر جانا پسند کرتا ہوں
دیگر کوئی جماعت یا لیڈر نہیں ہے۔,پھر صرف ایک آواز گونجے گی 'آج اقتدار کس کا ہے‘
ویرات کوبلی اور,ہر ادارے میں افسران ہوں یا چھوٹے ملازم وہ بھی انسان ہیں ان سے بھی غلطیاں ہو تی ہیں
محفل ختم ہوئی تو آپ اپنے گھر گئے۔,اس طرح کی اور بھی فلمیں ہونی چاہئے
وائس آف امریکہ سے گفتگو کرتے ہوئے,وقت کے تغیر کا بہرحال کمال دیکھیے۔
مچھلیاں اور جانور اس سے مرتے ہیں۔,چیک جمہوریہ
دھر گرین ہاؤس میں کاربن ڈائی آکسائیڈ کی اضافی مقدار,اس سادگی پہ کون نہ مر جائے اے خدا ۔
ممتاز شاعرہ فہمیدہ ریاض شدید علالت کے باعث انتقال کر گئیں,وہ کیا ٹکر لے رہے ہیں
ابھی تو نومبر نے آنا ہے لیکن لگتا یوں ہے,وہ یہاں نہیں چل سکتے۔
وہ تو ابن آدم کے اخلاقی وجود کی تطہیر چاہتا ہے۔,جہاں پلاسٹک یا شیشے کی مدد سے
کیا فی الواقع احسن اقبال کا ردعمل ایک ڈرامہ تھا,تو عدالت عظمی کا۔
تعلیم اور جمہوریت تعلیم ہی سے شعور کی گرہیں,اپنے دوستوں کو محظوظ کرتا ہوں
ایسے میں ظاہر ہے۔,گڑھے مردے مت اکھاڑو
وزراء تو چپ ہی ہیں۔,یہاں کی منفرد روایات سیاح کو بہت بھلی لگتی ہیں ۔
کسب روزگارکے لیے برسوں پاکستان ٹیلی وژن سے منسلک رہے,ٹور ڈی رومانڈی سائیکل ریس دوسرے مرحلے میں بیلجیئم کے تھامس نے میدان مار لیا
اسی لئے انہیں گرمی والی شعاعیں بھی کہا جاسکتا ہے,تو ذہن میں ٹی وی چینلز ہی آتے ہیں۔
ان کا تعلق جنوبی افریقہ سے ہے۔,چکھتے ہی سب اس پر ٹوٹ پڑے
انہوں نے اسے ترک کردیا اور کسی دوسرےملک کی شہریت اختیار کرلی,معاملے میں حکومت ہی کو بروئے کار آنا
جی کہیے میں آپ کی کیا مدد کر سکتا ہوں,کابینہ کا فیصلہ حکومتی فیصلہ ہوتا ہے۔
وہ بھی اکثر شاموں کو۔,ڈاکٹر عطاءالرحمن پاکستان کے مایہ ناز کیمیا دان ہیں
وہاں پہنچنے میں کتنا ٹائم لگتا ہے,اوپر سے بھرپور حرکات غیبی قوتوں کی۔
یہاں سے چلے جائیں ورنہ ہم اپ کو تھپڑ مار دیں گے,عام میل جول میں نیر ندیم صاحب انتہائی حلیم الطبع اور منکسر المزاج ہیں
نہ سینڈوچ نہ کچھ اور۔,اس کی صحت خراب ہے
اللہ کے لیے اگلی بار اس پارٹی کو ووٹ دو جس میں خاندانی سیاست کی بجائے میرٹ دیکھا جاتا ہے,تیاری کیسی گئی
اسی طرح فطرت بھی اسی تقاضے کو مدنظر رکھتی نظر اتی ہے,جبری یوں کہ پیدا ہوئے اور دادا جی نے کان میں اذان انڈیل دی
تو مجھ جیسے اہل پنجاب ان سے پہلے احتجاج کریں گے۔,جیو اور جینے دو
ڈیگال نے کہا تھا سارتر فرانس ہے۔,سپر بائیک ورلڈ چیمپئن شپ چاز ڈیوس نے سب کو پیچھے چھوڑ دیا
مطلب مسجد سے باہر اسلام کاکوئی کام نہیں,رسمی مذہب اسے بدی کا مجسمہ قرار دیتا ہے
فلم لاہور کراچی اور اسلام آباد,جامنی رنگ استعمال کیا گیا ہے
سیاست دان قانون اور اخلاقیات کا پابند ہو تا ہے۔,مسلئے کا شکار ہیں تو آپ مجھ سے رابطہ کر سکتے ہیں
اس اسلوب میں یہ صلاحیت ہے کہ وہ جدید,وہ مذہب کے نام پر تشدد کی ہر صورت نفی کرتے ہیں۔
جنرل ضیاء الحق آ گئے۔,اب یہ تحریک انصاف کا امتحان ہے کہ
وہ ایک بڑے وڈیرے کے بیٹے تھے۔,لو جی پکے مسلمان ۔
ایکسٹریم اسپورٹس ہمارا ایسا کوئی شوق نہیں,محنت کرو حسد نہ کرو ورنہ اپنا ہی نقصان ہے
اوپر سے بھرپور حرکات غیبی قوتوں کی۔,ریاست یہ سب کام اپنے وسائل کے تحت ہی کر سکتی ہے۔
جس علم سے ہم آشنا ہیں۔,گھر میں سب لوگ سو رہے ہیں
کراچی گئیں۔,جب ہم غلطی پر اصرار کرتے ہیں اور اسے دھراتے ہیں۔
ورنہ ایسے ہی چیزیں چلتی رہیں گی۔,اور یہ گنوار تھا
ایشیا کپ کی شکست سے مایوس نہیں بلکہ سیکھنے کی ضرورت ہے,ضرورت اس امر کی ہے کہ ادارے مضبوط ہوں ’’ شخصیات ‘‘ کی بجائے
زندگی سچ یہی ہے کہ موت کے آغوش میں سانس لیتی ہے۔,کھجیندرا تھاپا مگر کے والد کا کہنا تھا
اب پتہ نہیں کہاں ہیں۔,بھوٹان
ایک بیان کے بعد کشیدگی آگئی ہے,کوئٹہ مقامی ہوٹل کی جانب سے طلبہ کو تیراکی سکھائی گئی
خبر ہلا دینے والی تھی۔,نریندر مودی حکومت نے ختم کر دیا۔
اپنا ذہن نہیں بنا سکتا,تو مرتے وقت تک اس کو نبھانا پڑتا ہے
اور ہو بھی کیوں۔,معاشی حقائق جاننے کیلیے وزیر اعظم کے غیر جانبدار ماہرین سے رابطے
ئی ایم ایف ٹیکس کی وصولیوں میں کمی پر ناخوش,لوگ بے صبری سے شاہد آفریدی کی بیٹنگ کا انتظار کیا کرتے تھے
رات وہاں گزاریں گے,اور میخانے بھی۔
سابق کوچ کمبلے کو ہٹانے کیلئے کوہلی کی سازش کا راز فاش,علم صبر کے ساتھ آتا ہے
یہ مسائل اصل مسئلے سے کہیں زیادہ گمبھیر ہوتے ہیں۔,نہ کہ اس سارے حساب کتاب سے پہلے۔
سو ایسے ہی چلے۔,نئی چیزیں شروع کرنا پسند کرتا ہوں
آذربائیجان کا موسم گرما کا وقت,کہ یہ سورج سے آنے والی زیریں سرخ انفرا ریڈ شعاعوں کو جذب کرلیتے ہیں
ہر محب اپنے محبوب کو راضی رکھنا چاہتا ہے۔,بی بی سی کی نامہ نگار فرحت جاوید اور موسی یاوری کو اسلام آباد
ہاتھ رکھ کر سوچنے کے بعد کہا۔,یہ اعتماد پیدا کرتا ہے
میری کے بالوں کے نئے انداز نے اسے بھیڑ میں بھی منفرد کر دیا تھا۔,تو ہمارے لئے یہ لمحہ فکریہ ہے۔
اس کی بیوی بھی اخبار کے لیے کام کرتی ہے جیسے اس کا باپ کرتا تھا,تعمیر وطن کے لیے سر جوڑ کے بیٹھو۔
کوئی فتوی نہیں دیا جائے گا,وائس آف امریکہ سے گفتگو کرتے ہوئے
ایک اور بات سمجھ میں نہیں آتی۔,بہت کم اپنی جذباتی رد عمل کے بارے میں سوچتا ہوں
فیفاورلڈکپکولمبیا اور جاپان نے ناک اٹ رانڈ کیلئے کوالیفائی کرلیا,دلدل اب بھی موجود ہے
یہ پھر بھی نہیں راضی۔,بنگلہ دیش کی عدالت اگر علما کے فتووں اور قانونی فیصلوں پر پابندی لگانے کے بجائے
پاکستانی ہیئر ای,فعالیت صفر ہے۔
علم نفسیات پہلے اسے ایک سماجی مرض قرار دیتا تھا۔,کہ مکالمے کے لیے صرف اس کا علم اٹھانا
سوالات بہت سے ہیں۔,آسامی
جائیدادیں قائم ہیں۔,تو پھر استخراجی منطق کا اطلاق بھی کیا جا سکتا ہے۔
نیوزی لینڈ سے ہار کوچنگ کیریئر کی بدترین شکست ہے ارتھر,وہ تو ابن آدم کے اخلاقی وجود کی تطہیر چاہتا ہے۔
بھکاریوں کے پاس کیا چوائس ہوتی ہے,اس میں کیمرہ کی کچھ اچھی پوزیشن اور ترمیم کا استعمال کیا گیا ہے
اس ہنگامے سے کیا امید,وہ ہو کے رہتی ہے۔
عاصم لڑ کی کو پٹانے کی کو شش کر رہا ہے,سنیل گواسکر پوری بات
اس اسلوب میں یہ صلاحیت ہے کہ وہ جدید,اتنی ہی جیت آسان ہو گی۔
پہلے امریکہ اور یورپ کو شکایت تھی۔,چینی وزیرخارجہ نے کورونا وائرس کےخلاف جنگ میں پاکستان کی مکمل حمایت جاری رکھنے کی یقین دہانی کرادی
درحقیقت حکومت سوچاسمجھا خطرہ لے رہی ہے,بارہا استعمال کر
آدھا ملک گنوا بیٹھے۔,جاپانی
فنون لطیفہ کی اہمیت پر یقین کرتا ہوں,فلاحی ریاست کی اولین ترجیح عوام کی فلاح و بہبود ہوتی ہے۔
بے صرفہ ہی گزرتی ہے ہو گرچہ عمر خضر,کک آئلینڈز
